node/id,node/name,node/description,node/chargeTaxes,node/availableForPurchaseAt,node/created,node/rating,node/updatedAt,node/__typename
TRUE,ABBA / Arrival,"{""time"": 1654858249725, ""blocks"": [{""id"": ""0"", ""data"": {""text"": """"}, ""type"": ""paragraph""}], ""version"": ""2.23.1""}",TRUE,2022-06-10T10:51:02.024062+00:00,2022-06-10T10:50:50.086153+00:00,,2022-06-10T10:51:00.433610+00:00,Product
TRUE,Aniversario Los 10 Años De ABBA,"{""time"": 1654858217036, ""blocks"": [{""id"": ""0"", ""data"": {""text"": """"}, ""type"": ""paragraph""}], ""version"": ""2.23.1""}",TRUE,2022-06-10T10:50:30.094511+00:00,2022-06-10T10:50:17.493007+00:00,,2022-06-10T10:50:28.464907+00:00,Product
TRUE,Antologia,"{""time"": 1654858150184, ""blocks"": [{""id"": ""0"", ""data"": {""text"": """"}, ""type"": ""paragraph""}], ""version"": ""2.23.1""}",TRUE,2022-06-10T10:49:22.995560+00:00,2022-06-10T10:49:10.558047+00:00,,2022-06-10T10:49:21.403839+00:00,Product
TRUE,A Wie ABBA (Die Grössten Erfolge Von »Waterloo« Bis »Super Trouper«),"{""time"": 1654858094989, ""blocks"": [{""id"": ""0"", ""data"": {""text"": """"}, ""type"": ""paragraph""}], ""version"": ""2.23.1""}",TRUE,2022-06-10T10:48:31.997833+00:00,2022-06-10T10:48:15.362877+00:00,,2022-06-10T10:48:30.625729+00:00,Product
TRUE,Eagle / Thank You For The Music,"{""time"": 1654858078996, ""blocks"": [{""id"": ""0"", ""data"": {""text"": """"}, ""type"": ""paragraph""}], ""version"": ""2.23.1""}",TRUE,2022-06-10T10:48:11.152846+00:00,2022-06-10T10:47:59.460551+00:00,,2022-06-10T10:48:09.695312+00:00,Product
TRUE,Honey-Honey,"{""time"": 1654858116041, ""blocks"": [{""id"": ""0"", ""data"": {""text"": """"}, ""type"": ""paragraph""}], ""version"": ""2.23.1""}",TRUE,2022-06-10T10:48:49.856452+00:00,2022-06-10T10:48:36.426884+00:00,,2022-06-10T10:48:48.460655+00:00,Product
TRUE,Little Things,"{""time"": 1654858199847, ""blocks"": [{""id"": ""0"", ""data"": {""text"": """"}, ""type"": ""paragraph""}], ""version"": ""2.23.1""}",TRUE,2022-06-10T10:50:13.338522+00:00,2022-06-10T10:50:00.223300+00:00,,2022-06-10T10:50:11.735471+00:00,Product
TRUE,Revival,"{""time"": 1654858265444, ""blocks"": [{""id"": ""0"", ""data"": {""text"": """"}, ""type"": ""paragraph""}], ""version"": ""2.23.1""}",TRUE,2022-06-10T10:51:17.737265+00:00,2022-06-10T10:51:05.789816+00:00,,2022-06-10T10:51:16.224750+00:00,Product
TRUE,So Long,"{""time"": 1654858233810, ""blocks"": [{""id"": ""0"", ""data"": {""text"": """"}, ""type"": ""paragraph""}], ""version"": ""2.23.1""}",TRUE,2022-06-10T10:50:46.035476+00:00,2022-06-10T10:50:34.250632+00:00,,2022-06-10T10:50:44.781229+00:00,Product
TRUE,Take A Chance On Us,"{""time"": 1654858312993, ""blocks"": [{""id"": ""0"", ""data"": {""text"": """"}, ""type"": ""paragraph""}], ""version"": ""2.23.1""}",TRUE,2022-06-10T10:52:03.053948+00:00,2022-06-10T10:51:53.512472+00:00,,2022-06-10T10:52:01.814607+00:00,Product
TRUE,Thank You For The Music,"{""time"": 1654858297243, ""blocks"": [{""id"": ""0"", ""data"": {""text"": """"}, ""type"": ""paragraph""}], ""version"": ""2.23.1""}",TRUE,2022-06-10T10:51:49.517987+00:00,2022-06-10T10:51:37.578054+00:00,,2022-06-10T10:51:48.326035+00:00,Product
TRUE,Thank You For The Music / Happy New Year,"{""time"": 1654858183062, ""blocks"": [{""id"": ""0"", ""data"": {""text"": """"}, ""type"": ""paragraph""}], ""version"": ""2.23.1""}",TRUE,2022-06-10T10:49:55.946254+00:00,2022-06-10T10:49:43.444522+00:00,,2022-06-10T10:49:54.508316+00:00,Product
